group,Time_min,AvgActivity
001_N2_NT_OAP,210,59
001_N2_NT_OAP,240,77
001_N2_NT_OAP,270,81
001_N2_NT_OAP,300,82
001_N2_NT_OAP,330,103
001_N2_NT_OAP,360,87
001_N2_NT_OAP,390,86
001_N2_NT_OAP,420,75
001_N2_NT_OAP,450,67
001_N2_NT_OAP,480,62
001_N2_NT_OAP,510,65
001_N2_NT_OAP,540,59
001_N2_NT_OAP,570,58
001_N2_NT_OAP,600,70
001_N2_NT_OAP,630,53
001_N2_NT_OAP,660,68
001_N2_NT_OAP,690,64
001_N2_NT_OAP,720,84
001_N2_NT_OAP,750,94
001_N2_NT_OAP,780,82
001_N2_NT_OAP,810,97
001_N2_NT_OAP,840,70
001_N2_NT_OAP,870,88
001_N2_NT_OAP,900,78
001_N2_NT_OAP,930,72
001_N2_NT_OAP,960,65
001_N2_NT_OAP,990,81
001_N2_NT_OAP,1020,87
001_N2_NT_OAP,1050,75
001_N2_NT_OAP,1080,79
001_N2_NT_OAP,1110,75
001_N2_NT_OAP,1140,81
001_N2_NT_OAP,1170,79
001_N2_NT_OAP,1200,64
001_N2_NT_OAP,1230,70
001_N2_NT_OAP,1260,72
001_N2_NT_OAP,1290,66
001_N2_NT_OAP,1320,69
001_N2_NT_OAP,1350,82
001_N2_NT_OAP,1380,75
001_N2_NT_OAP,1410,86
001_N2_NT_OAP,1440,87
001_N2_NT_OAP,1470,91
001_N2_NT_OAP,1500,114
001_N2_NT_OAP,1530,98
001_N2_NT_OAP,1560,101
001_N2_NT_OAP,1590,86
001_N2_NT_OAP,1620,96
001_N2_NT_OAP,1650,84
001_N2_NT_OAP,1680,94
001_N2_NT_OAP,1710,112
001_N2_NT_OAP,1740,78
001_N2_NT_OAP,1770,90
001_N2_NT_OAP,1800,75
001_N2_NT_OAP,1830,86
001_N2_NT_OAP,1860,81
001_N2_NT_OAP,1890,70
001_N2_NT_OAP,1920,59
001_N2_NT_OAP,1950,69
001_N2_NT_OAP,1980,70
001_N2_NT_OAP,2010,84
001_N2_NT_OAP,2040,69
001_N2_NT_OAP,2070,83
001_N2_NT_OAP,2100,82
001_N2_NT_OAP,2130,85
001_N2_NT_OAP,2160,83
001_N2_NT_OAP,2190,76
001_N2_NT_OAP,2220,86
001_N2_NT_OAP,2250,71
001_N2_NT_OAP,2280,94
001_N2_NT_OAP,2310,104
001_N2_NT_OAP,2340,116
001_N2_NT_OAP,2370,97
001_N2_NT_OAP,2400,92
001_N2_NT_OAP,2430,105
001_N2_NT_OAP,2460,88
001_N2_NT_OAP,2490,97
001_N2_NT_OAP,2520,71
001_N2_NT_OAP,2550,92
001_N2_NT_OAP,2580,79
001_N2_NT_OAP,2610,79
001_N2_NT_OAP,2640,74
001_N2_NT_OAP,2670,68
