group,Time_min,AvgActivity
001_N2_NT_OAP,195,61
001_N2_NT_OAP,210,69
001_N2_NT_OAP,225,60
001_N2_NT_OAP,240,61
001_N2_NT_OAP,255,60
001_N2_NT_OAP,270,56
001_N2_NT_OAP,285,55
001_N2_NT_OAP,300,64
001_N2_NT_OAP,315,74
001_N2_NT_OAP,330,73
001_N2_NT_OAP,345,80
001_N2_NT_OAP,360,73
001_N2_NT_OAP,375,77
001_N2_NT_OAP,390,64
001_N2_NT_OAP,405,63
001_N2_NT_OAP,420,67
001_N2_NT_OAP,435,72
001_N2_NT_OAP,450,64
001_N2_NT_OAP,465,64
001_N2_NT_OAP,480,59
001_N2_NT_OAP,495,57
001_N2_NT_OAP,510,55
001_N2_NT_OAP,525,54
001_N2_NT_OAP,540,62
001_N2_NT_OAP,555,58
001_N2_NT_OAP,570,62
001_N2_NT_OAP,585,75
001_N2_NT_OAP,600,65
001_N2_NT_OAP,615,58
001_N2_NT_OAP,630,45
001_N2_NT_OAP,645,62
001_N2_NT_OAP,660,74
001_N2_NT_OAP,675,58
001_N2_NT_OAP,690,60
001_N2_NT_OAP,705,62
001_N2_NT_OAP,720,65
001_N2_NT_OAP,735,68
001_N2_NT_OAP,750,64
001_N2_NT_OAP,765,66
001_N2_NT_OAP,780,66
001_N2_NT_OAP,795,70
001_N2_NT_OAP,810,78
001_N2_NT_OAP,825,67
001_N2_NT_OAP,840,70
001_N2_NT_OAP,855,87
001_N2_NT_OAP,870,84
001_N2_NT_OAP,885,83
001_N2_NT_OAP,900,80
001_N2_NT_OAP,915,76
001_N2_NT_OAP,930,75
001_N2_NT_OAP,945,83
001_N2_NT_OAP,960,78
001_N2_NT_OAP,975,86
001_N2_NT_OAP,990,88
001_N2_NT_OAP,1005,94
001_N2_NT_OAP,1020,81
001_N2_NT_OAP,1035,82
001_N2_NT_OAP,1050,88
001_N2_NT_OAP,1065,76
001_N2_NT_OAP,1080,59
001_N2_NT_OAP,1095,65
001_N2_NT_OAP,1110,72
001_N2_NT_OAP,1125,74
001_N2_NT_OAP,1140,90
001_N2_NT_OAP,1155,92
001_N2_NT_OAP,1170,90
001_N2_NT_OAP,1185,79
001_N2_NT_OAP,1200,83
001_N2_NT_OAP,1215,76
001_N2_NT_OAP,1230,81
001_N2_NT_OAP,1245,77
001_N2_NT_OAP,1260,84
001_N2_NT_OAP,1275,70
001_N2_NT_OAP,1290,83
001_N2_NT_OAP,1305,92
001_N2_NT_OAP,1320,80
001_N2_NT_OAP,1335,78
001_N2_NT_OAP,1350,85
001_N2_NT_OAP,1365,87
001_N2_NT_OAP,1380,63
001_N2_NT_OAP,1395,77
001_N2_NT_OAP,1410,86
001_N2_NT_OAP,1425,82
001_N2_NT_OAP,1440,74
001_N2_NT_OAP,1455,79
001_N2_NT_OAP,1470,99
001_N2_NT_OAP,1485,82
001_N2_NT_OAP,1500,83
001_N2_NT_OAP,1515,84
001_N2_NT_OAP,1530,80
001_N2_NT_OAP,1545,72
001_N2_NT_OAP,1560,82
001_N2_NT_OAP,1575,80
001_N2_NT_OAP,1590,87
001_N2_NT_OAP,1605,73
001_N2_NT_OAP,1620,83
001_N2_NT_OAP,1635,78
001_N2_NT_OAP,1650,82
001_N2_NT_OAP,1665,86
001_N2_NT_OAP,1680,81
001_N2_NT_OAP,1695,89
001_N2_NT_OAP,1710,91
001_N2_NT_OAP,1725,85
001_N2_NT_OAP,1740,81
001_N2_NT_OAP,1755,86
001_N2_NT_OAP,1770,98
001_N2_NT_OAP,1785,114
001_N2_NT_OAP,1800,97
001_N2_NT_OAP,1815,91
001_N2_NT_OAP,1830,83
001_N2_NT_OAP,1845,93
001_N2_NT_OAP,1860,89
001_N2_NT_OAP,1875,94
001_N2_NT_OAP,1890,91
001_N2_NT_OAP,1905,110
001_N2_NT_OAP,1920,102
001_N2_NT_OAP,1935,93
001_N2_NT_OAP,1950,95
001_N2_NT_OAP,1965,101
001_N2_NT_OAP,1980,92
001_N2_NT_OAP,1995,97
001_N2_NT_OAP,2010,93
001_N2_NT_OAP,2025,97
001_N2_NT_OAP,2040,91
001_N2_NT_OAP,2055,86
001_N2_NT_OAP,2070,77
001_N2_NT_OAP,2085,90
001_N2_NT_OAP,2100,95
001_N2_NT_OAP,2115,96
001_N2_NT_OAP,2130,100
001_N2_NT_OAP,2145,98
001_N2_NT_OAP,2160,98
001_N2_NT_OAP,2175,108
001_N2_NT_OAP,2190,93
001_N2_NT_OAP,2205,106
001_N2_NT_OAP,2220,96
001_N2_NT_OAP,2235,78
001_N2_NT_OAP,2250,92
001_N2_NT_OAP,2265,100
001_N2_NT_OAP,2280,93
001_N2_NT_OAP,2295,100
001_N2_NT_OAP,2310,86
001_N2_NT_OAP,2325,85
001_N2_NT_OAP,2340,97
001_N2_NT_OAP,2355,99
001_N2_NT_OAP,2370,89
001_N2_NT_OAP,2385,86
001_N2_NT_OAP,2400,103
001_N2_NT_OAP,2415,98
001_N2_NT_OAP,2430,87
001_N2_NT_OAP,2445,78
001_N2_NT_OAP,2460,85
001_N2_NT_OAP,2475,84
001_N2_NT_OAP,2490,82
001_N2_NT_OAP,2505,82
001_N2_NT_OAP,2520,86
001_N2_NT_OAP,2535,79
001_N2_NT_OAP,2550,93
001_N2_NT_OAP,2565,74
001_N2_NT_OAP,2580,85
001_N2_NT_OAP,2595,88
001_N2_NT_OAP,2610,74
001_N2_NT_OAP,2625,68
001_N2_NT_OAP,2640,66
001_N2_NT_OAP,2655,68
001_N2_NT_OAP,2670,85
001_N2_NT_OAP,2685,68
001_N2_NT_OAP,2700,64
001_N2_NT_OAP,2715,64
001_N2_NT_OAP,2730,68
001_N2_NT_OAP,2745,73
001_N2_NT_OAP,2760,65
001_N2_NT_OAP,2775,60
001_N2_NT_OAP,2790,71
001_N2_NT_OAP,2805,81
001_N2_NT_OAP,2820,72
001_N2_NT_OAP,2835,71
001_N2_NT_OAP,2850,70
001_N2_NT_OAP,2865,68
001_N2_NT_OAP,2880,64
001_N2_NT_OAP,2895,81
001_N2_NT_OAP,2910,71
001_N2_NT_OAP,2925,72
001_N2_NT_OAP,2940,73
