group,Time_min,AvgActivity
001_N2_NT_OAP,195,23
001_N2_NT_OAP,210,18
001_N2_NT_OAP,225,20
001_N2_NT_OAP,240,19
001_N2_NT_OAP,255,18
001_N2_NT_OAP,270,16
001_N2_NT_OAP,285,17
001_N2_NT_OAP,300,21
001_N2_NT_OAP,315,18
001_N2_NT_OAP,330,21
001_N2_NT_OAP,345,18
001_N2_NT_OAP,360,19
001_N2_NT_OAP,375,22
001_N2_NT_OAP,390,24
001_N2_NT_OAP,405,18
001_N2_NT_OAP,420,21
001_N2_NT_OAP,435,11
001_N2_NT_OAP,450,10
001_N2_NT_OAP,465,12
001_N2_NT_OAP,480,15
001_N2_NT_OAP,495,15
001_N2_NT_OAP,510,17
001_N2_NT_OAP,525,12
001_N2_NT_OAP,540,14
001_N2_NT_OAP,555,12
001_N2_NT_OAP,570,10
001_N2_NT_OAP,585,10
001_N2_NT_OAP,600,11
001_N2_NT_OAP,615,10
001_N2_NT_OAP,630,14
001_N2_NT_OAP,645,16
001_N2_NT_OAP,660,16
001_N2_NT_OAP,675,13
001_N2_NT_OAP,690,9
001_N2_NT_OAP,705,12
001_N2_NT_OAP,720,16
001_N2_NT_OAP,735,17
001_N2_NT_OAP,750,14
001_N2_NT_OAP,765,8
001_N2_NT_OAP,780,13
001_N2_NT_OAP,795,14
001_N2_NT_OAP,810,12
001_N2_NT_OAP,825,11
001_N2_NT_OAP,840,12
001_N2_NT_OAP,855,10
001_N2_NT_OAP,870,11
001_N2_NT_OAP,885,21
001_N2_NT_OAP,900,10
001_N2_NT_OAP,915,27
001_N2_NT_OAP,930,28
001_N2_NT_OAP,945,28
001_N2_NT_OAP,960,20
001_N2_NT_OAP,975,22
001_N2_NT_OAP,990,31
001_N2_NT_OAP,1005,41
001_N2_NT_OAP,1020,24
001_N2_NT_OAP,1035,28
001_N2_NT_OAP,1050,30
001_N2_NT_OAP,1065,29
001_N2_NT_OAP,1080,31
001_N2_NT_OAP,1095,31
001_N2_NT_OAP,1110,26
001_N2_NT_OAP,1125,24
001_N2_NT_OAP,1140,21
001_N2_NT_OAP,1155,16
001_N2_NT_OAP,1170,12
001_N2_NT_OAP,1185,16
001_N2_NT_OAP,1200,10
001_N2_NT_OAP,1215,8
001_N2_NT_OAP,1230,16
001_N2_NT_OAP,1245,14
001_N2_NT_OAP,1260,16
001_N2_NT_OAP,1275,26
001_N2_NT_OAP,1290,22
001_N2_NT_OAP,1305,24
001_N2_NT_OAP,1320,23
001_N2_NT_OAP,1335,18
001_N2_NT_OAP,1350,14
001_N2_NT_OAP,1365,14
001_N2_NT_OAP,1380,23
001_N2_NT_OAP,1395,15
001_N2_NT_OAP,1410,18
001_N2_NT_OAP,1425,22
001_N2_NT_OAP,1440,23
001_N2_NT_OAP,1455,20
001_N2_NT_OAP,1470,18
001_N2_NT_OAP,1485,23
001_N2_NT_OAP,1500,26
001_N2_NT_OAP,1515,17
001_N2_NT_OAP,1530,18
001_N2_NT_OAP,1545,14
001_N2_NT_OAP,1560,15
001_N2_NT_OAP,1575,12
001_N2_NT_OAP,1590,14
001_N2_NT_OAP,1605,10
001_N2_NT_OAP,1620,15
001_N2_NT_OAP,1635,14
001_N2_NT_OAP,1650,15
001_N2_NT_OAP,1665,18
001_N2_NT_OAP,1680,12
001_N2_NT_OAP,1695,17
001_N2_NT_OAP,1710,18
001_N2_NT_OAP,1725,16
001_N2_NT_OAP,1740,17
001_N2_NT_OAP,1755,24
001_N2_NT_OAP,1770,25
001_N2_NT_OAP,1785,22
001_N2_NT_OAP,1800,23
001_N2_NT_OAP,1815,17
001_N2_NT_OAP,1830,22
001_N2_NT_OAP,1845,20
001_N2_NT_OAP,1860,14
001_N2_NT_OAP,1875,18
001_N2_NT_OAP,1890,27
001_N2_NT_OAP,1905,27
001_N2_NT_OAP,1920,17
001_N2_NT_OAP,1935,18
001_N2_NT_OAP,1950,15
001_N2_NT_OAP,1965,12
001_N2_NT_OAP,1980,12
001_N2_NT_OAP,1995,11
001_N2_NT_OAP,2010,11
001_N2_NT_OAP,2025,5
001_N2_NT_OAP,2040,20
001_N2_NT_OAP,2055,24
001_N2_NT_OAP,2070,16
001_N2_NT_OAP,2085,15
001_N2_NT_OAP,2100,15
001_N2_NT_OAP,2115,13
001_N2_NT_OAP,2130,9
001_N2_NT_OAP,2145,7
001_N2_NT_OAP,2160,3
001_N2_NT_OAP,2175,4
001_N2_NT_OAP,2190,10
001_N2_NT_OAP,2205,15
001_N2_NT_OAP,2220,11
001_N2_NT_OAP,2235,8
001_N2_NT_OAP,2250,8
001_N2_NT_OAP,2265,12
001_N2_NT_OAP,2280,20
001_N2_NT_OAP,2295,10
001_N2_NT_OAP,2310,16
001_N2_NT_OAP,2325,18
001_N2_NT_OAP,2340,18
001_N2_NT_OAP,2355,27
001_N2_NT_OAP,2370,18
001_N2_NT_OAP,2385,16
001_N2_NT_OAP,2400,18
001_N2_NT_OAP,2415,16
001_N2_NT_OAP,2430,14
001_N2_NT_OAP,2445,14
001_N2_NT_OAP,2460,20
001_N2_NT_OAP,2475,20
001_N2_NT_OAP,2490,19
001_N2_NT_OAP,2505,18
001_N2_NT_OAP,2520,21
001_N2_NT_OAP,2535,24
001_N2_NT_OAP,2550,12
001_N2_NT_OAP,2565,20
001_N2_NT_OAP,2580,18
001_N2_NT_OAP,2595,21
001_N2_NT_OAP,2610,25
001_N2_NT_OAP,2625,18
001_N2_NT_OAP,2640,24
001_N2_NT_OAP,2655,24
001_N2_NT_OAP,2670,28
001_N2_NT_OAP,2685,19
001_N2_NT_OAP,2700,18
